org, Dyn, Func, Dec, With, Asc, Relatedness
40223231, 527, 614, 330, 206, 0, 1
40223233, 527, 609, 330, 206, 0, 1
40223234, 1588, 1822, 990, 618, 0, 1
40223235, 1054, 1218, 660, 412, 0, 1
40223236, 1054, 1218, 660, 412, 0, 1
40223240, 527, 614, 330, 206, 0, 1
40223243, 1054, 1218, 660, 412, 0, 1
40223245, 527, 604, 330, 206, 0, 1
40223246, 2115, 2446, 1320, 824, 0, 1
40223247, 527, 609, 330, 206, 0, 1
40223249, 0, 10, 0, 0, 0, 0
40223250, 527, 609, 330, 206, 0, 1
40323150, 8, 16, 1, 12, 0, 1
40323155, 8, 20, 2, 16, 0, 1
40323230, 22, 139, 104, 17, 0, 1
40323236, 8, 18, 1, 12, 0, 1
40423101, 16, 15, 27, 11, 0, 1
40423103, 8, 15, 1, 11, 0, 1
40423105, 8, 8, 0, 3, 0, 1
40423107, 26, 23, 27, 14, 0, 1
40423112, 24, 30, 28, 22, 0, 1
40423114, 81, 249, 18, 63, 0, 1
40423117, 24, 30, 28, 22, 0, 1
40423123, 16, 30, 2, 22, 0, 1
40423126, 16, 15, 27, 11, 0, 1
40423127, 0, 11, 2, 12, 0, 1
40423129, 0, 4, 1, 4, 0, 1
40423130, 8, 15, 1, 11, 0, 1
40423131, 10, 16, 13, 11, 0, 1
40423136, 0, 4, 1, 4, 0, 1
40423138, 8, 15, 1, 11, 0, 1
40423139, 8, 8, 0, 3, 0, 1
40423140, 18, 26, 29, 23, 0, 1
40423141, 8, 15, 1, 11, 0, 1
40423145, 16, 15, 27, 11, 0, 1
40423149, 8, 8, 0, 3, 0, 1
40423152, 8, 20, 2, 15, 0, 1
40423201, 8, 8, 0, 3, 0, 1
40423204, 8, 15, 1, 11, 0, 1
40423206, 16, 8, 26, 3, 0, 1
40423212, 16, 15, 27, 11, 0, 1
40423214, 16, 15, 27, 11, 0, 1
40423234, 16, 8, 26, 3, 0, 1
40423241, 8, 15, 1, 11, 0, 1
40423242, 16, 8, 26, 3, 0, 1
40423246, 8, 15, 1, 11, 0, 1
40423247, 8, 15, 1, 11, 0, 1
40423248, 8, 15, 1, 11, 0, 1
40423255, 8, 15, 1, 11, 0, 1
404d, 2, 2, 3, 4, 0, 1
42cc, 7, 20, 32, 22, 0, 1
450586509, 0, 22, 0, 9, 0, 1
4979, 0, 2, 0, 0, 0, 0
4bic, 10, 24, 42, 33, 0, 1
4cm4k1, 0, 1, 0, 0, 0, 0
4doemaster, 9, 52, 60, 0, 0, 1
4eek, 790, 1820, 1716, 1827, 0, 1
4gra, 0, 18, 0, 1, 0, 1
4Kaylum, 1, 14, 2, 10, 12, 1
4levity, 0, 0, 2, 0, 0, 0
4ON91, 1, 7, 0, 0, 0, 1
