Organization,Dyn,Func,Dec,,DynFunc,FuncDec,DynDec,Relatedness
cloudnautique,6,47,87,,1,1,1,1
cloudnull,2,5,9,,1,1,1,1
cloudpassage,0,6,50,,0,1,0,1
cloudregistry,0,9,2,,0,1,0,1
cloudruninc,2,4,0,,1,0,0,1
cloudsigma,28,54,38,,1,1,1,1
cloudtools,14,15,28,,1,1,1,1
cloudviz,70,156,2,,1,1,1,1
cloudwalkio,0,1,0,,0,0,0,0
cloudwatt,0,7,0,,0,0,0,0
cloudyuga,0,3,3,,0,1,0,1
Cloudzero,1,123,15,,1,1,1,1
cloudzfy,0,2,0,,0,0,0,0
clouserw,4,5,0,,1,0,0,1
Clover27,0,4,0,,0,0,0,0
CloverHealth,67,66,22,,1,1,1,1
clstoulouse,7,3,0,,1,0,0,1
cltk,21,91,9,,1,1,1,1
cltl,0,70,1,,0,1,0,1
clu8,0,5,0,,0,0,0,0
Club-Seiden,1,4,0,,1,0,0,1
clubadm,1,1,20,,1,1,1,1
clubcapra,14,51,92,,1,1,1,1
ClubCedille,0,2,8,,0,1,0,1
clubit,1,56,0,,1,0,0,1
clulab,0,1,0,,0,0,0,0
clusterdock,4,5,0,,1,0,0,1
clusterfudge,1,8,25,,1,1,1,1
ClusterHQ,10,11,3,,1,1,1,1
ClusterLabs,43,531,130,,1,1,1,1
clusterlib,5,6,4,,1,1,1,1
clusterpy,1,30,6,,1,1,1,1
clustervision,7,3,0,,1,0,0,1
clusto,11,41,12,,1,1,1,1
clutchio,13,19,29,,1,1,1,1
clvrobj,0,2,0,,0,0,0,0
clwainwright,0,10,0,,0,0,0,0
ClydeSpace-GroundStation,0,4,0,,0,0,0,0
CM4all,4,2,0,,1,0,0,1
cmaclell,6,212,1,,1,1,1,1
cmacmackin,6,13,49,,1,1,1,1
cmacro,0,4,0,,0,0,0,0
cmancone,6,29,47,,1,1,1,1
cmap,4,23,9,,1,1,1,1
cmars,14,55,2,,1,1,1,1
cmatteri,0,3,2,,0,1,0,1
cmaugg,18,4,5,,1,1,1,1
CMB,0,1,0,,0,0,0,0
cmbruns,0,2,3,,0,1,0,1
cmcpasserby,4,8,1,,1,1,1,1
cmcqueen,0,12,3,,0,1,0,1
cmd-johnson,0,10,9,,0,1,0,1
cmd-ntrf,1,6,0,,1,0,0,1
cmdrkotori,0,8,0,,0,0,0,0
cmeeren,0,1,0,,0,0,0,0
cmflannery,0,2,0,,0,0,0,0
cmh2166,0,10,0,,0,0,0,0
cmheisel,14,78,35,,1,1,1,1
cmitash,0,2,0,,0,0,0,0
cmjatai,70,63,34,,1,1,1,1
cmmorrow,5,99,99,,1,1,1,1
cmoberg,4,2,0,,1,0,0,1
cmorgan,0,2,0,,0,0,0,0
cmry,18,50,5,,1,1,1,1
cmspsgp31,10,33,27,,1,1,1,1
cmu-db,14,50,113,,1,1,1,1
cmu-delphi,0,41,35,,0,1,0,1
cmu-mtlab,0,7,0,,0,0,0,0
CMU-SAFARI,0,2,0,,0,0,0,0
cmuphyscomp,1,17,0,,1,0,0,1
cmus,0,3,0,,0,0,0,0
cmusatyalab,31,36,38,,1,1,1,1
cmusphinx,0,7,0,,0,0,0,0
cmutel,3,37,5,,1,1,1,1
cn-app-registry,15,26,143,,1,1,1,1
cnbeining,0,8,0,,0,0,0,0
cnc-club,15,31,0,,1,0,0,1
cncf,2,16,0,,1,0,0,1
cnelsonsic,2,5,2,,1,1,1,1
cnfuyu,0,3,0,,0,0,0,0
cnjack,0,3,1,,0,1,0,1
cnluzon,0,7,0,,0,0,0,0
cnobile2012,21,27,3,,1,1,1,1
cnorthwood,0,5,0,,0,0,0,0
cnoviello,1,5,0,,1,0,0,1
CNR-Engineering,3,68,4,,1,1,1,1
CnrLwlss,0,50,0,,0,0,0,0
CNS-OIST,2,8,48,,1,1,1,1
cnsoft,225,212,103,,1,1,1,1
cnu,0,1,1,,0,1,0,1
cnu1439,0,1,0,,0,0,0,0
CNugteren,0,59,1,,0,1,0,1
cnweaver,0,1,0,,0,0,0,0
co,0,52,32,,0,1,0,1
co-ment,28,22,6,,1,1,1,1
coagulant,9,27,29,,1,1,1,1
coala,47,383,325,,1,1,1,1
coallaoh,0,6,0,,0,0,0,0
coandco,5,24,0,,1,0,0,1
coast-team,0,7,6,,0,1,0,1
CoastalResilienceNetwork,2,4,0,,1,0,0,1
Coaxis-ASP,3,9,14,,1,1,1,1
cobalt-uoft,0,23,77,,0,1,0,1
cobbler,4,15,1,,1,1,1,1
CoBiG2,0,54,0,,0,0,0,0
Cobliteam,2,2,9,,1,1,1,1
coblo,1,17,27,,1,1,1,1
cobrateam,28,30,67,,1,1,1,1
CobwebOrg,25,30,33,,1,1,1,1
cobyism,1,5,0,,1,0,0,1
cocagne,28,149,32,,1,1,1,1
cocaine,19,364,126,,1,1,1,1
cockpit-project,2,23,3,,1,1,1,1
cockpituous,0,1,0,,0,0,0,0
cockroach,0,4,4,,0,1,0,1
cockroachdb,1,5,0,,1,0,0,1
cocolocomoco21,0,1,0,,0,0,0,0
Cocophotos,0,5,0,,0,0,0,0
cocrawler,0,33,11,,0,1,0,1
cod3licious,1,67,0,,1,0,0,1
codacy,0,2,0,,0,0,0,0
coddingtonbear,46,54,66,,1,1,1,1
Code-AI,0,12,0,,0,0,0,0
Code-ReaQtor,0,22,0,,0,0,0,0
Code4Nepal,2,11,0,,1,0,0,1
code4romania,1,47,18,,1,1,1,1
Code4SA,20,180,119,,1,1,1,1
codeafrica,0,1,0,,0,0,0,0
codebendercc,0,5,0,,0,0,0,0
codeblogio,0,1,0,,0,0,0,0
codebom,6,23,11,,1,1,1,1
codebox,0,22,0,,0,0,0,0
codebrainz,5,13,5,,1,1,1,1
codebugtools,1,4,0,,1,0,0,1
Codecademy,0,1,0,,0,0,0,0
codeclimate,1,25,0,,1,0,0,1
CodeCorrupt,0,2,0,,0,0,0,0
coded5282,4,15,0,,1,0,0,1
codedecde,0,4,0,,0,0,0,0
codediodeio,0,1,0,,0,0,0,0
codedstructure,9,27,13,,1,1,1,1
codeenigma,0,1,5,,0,1,0,1
codefisher,0,27,4,,0,1,0,1
CodeFN,0,8,4,,0,1,0,1
codefollower,1,19,0,,1,0,0,1
CodeForAfrica,9,26,32,,1,1,1,1
codeforamerica,37,118,64,,1,1,1,1
codeforberlin,0,1,0,,0,0,0,0
codeforboston,19,113,54,,1,1,1,1
codefordc,6,27,1,,1,1,1,1
codeforfrankfurt,0,5,0,,0,0,0,0
CodeforHawaii,0,8,1,,0,1,0,1
CodeForPhilly,0,3,0,,0,0,0,0
CodeForPoznan,2,6,34,,1,1,1,1
codeguida,1,8,0,,1,0,0,1
codehacken,0,3,1,,0,1,0,1
CodeHuntersLab,0,4,0,,0,0,0,0
codeif,0,1,1,,0,1,0,1
codeinn,9,35,25,,1,1,1,1
codeinthehole,7,27,2,,1,1,1,1
codeka,0,11,5,,0,1,0,1
codekansas,6,79,6,,1,1,1,1
codekoala,5,6,2,,1,1,1,1
codelieche,13,28,30,,1,1,1,1
codelikeagirlcny,1,3,0,,1,0,0,1
codelovin,0,47,2,,0,1,0,1
codelucas,0,2,4,,0,1,0,1
codelv,19,94,30,,1,1,1,1
CodeNameGhost,21,209,14,,1,1,1,1
codenotfound,0,8,0,,0,0,0,0
codento,1,1,0,,1,0,0,1
codepr,0,6,0,,0,0,0,0
Coder-ak,12,5,0,,1,0,0,1
Coder-Yu,0,2,2,,0,1,0,1
coderanger,7,11,22,,1,1,1,1
CoderBotOrg,1,8,42,,1,1,1,1
CoderBounty,0,1,3,,0,1,0,1
CoderDojoTC,0,1,7,,0,1,0,1
CodeReclaimers,32,54,11,,1,1,1,1
coderfly,6,3,4,,1,1,1,1
codergvbrownsville,0,1,0,,0,0,0,0
coderholic,27,7,21,,1,1,1,1
coderiot,1,2,1,,1,1,1,1
coders4help,9,20,22,,1,1,1,1
CodersOfTheNight,6,18,53,,1,1,1,1
codesardine,0,2,11,,0,1,0,1
codeshard,0,1,11,,0,1,0,1
codesmart-co,1,12,59,,1,1,1,1
codesociety,0,1,2,,0,1,0,1
codesy,3,6,2,,1,1,1,1
CodeTeam,5,5,4,,1,1,1,1
CodeTengu,1,2,0,,1,0,0,1
codetiger,0,6,0,,0,0,0,0
codetrick,0,11,0,,0,0,0,0
codetry,9,3,0,,1,0,0,1
codewarrior0,5,7,6,,1,1,1,1
Codewars,0,2,0,,0,0,0,0
codexgigassys,12,3,0,,1,0,0,1
codexns,14,2,11,,1,1,1,1
CodeYellowBV,46,38,17,,1,1,1,1
CodigoSur,59,62,14,,1,1,1,1
codilime,7,35,20,,1,1,1,1
Codility,3,2,0,,1,0,0,1
CodingCrush,0,2,3,,0,1,0,1
CodingForCookies,5,17,19,,1,1,1,1
codingforentrepreneurs,3,7,13,,1,1,1,1
codingisacopingstrategy,0,18,1,,0,1,0,1
codingjoe,10,20,20,,1,1,1,1
codingo,0,3,2,,0,1,0,1
CodingVault,0,34,0,,0,0,0,0
codingXiang,0,6,0,,0,0,0,0
codiply,0,3,0,,0,0,0,0
codl,13,15,24,,1,1,1,1
CodyKochmann,2,3,15,,1,1,1,1
codyparker,0,2,6,,0,1,0,1
codysoyland,1,20,3,,1,1,1,1
COEXCZ,3,8,0,,1,0,0,1
coffeemakr,7,7,16,,1,1,1,1
cogenda,2,1,0,,1,0,0,1
cogeorg,25,511,63,,1,1,1,1
cogitare-ai,5,25,20,,1,1,1,1
Cognexa,18,49,40,,1,1,1,1
cogniteam,2,4,1,,1,1,1,1
cognitect,3,16,87,,1,1,1,1
cognitect-labs,1,52,0,,1,0,0,1
CognitionGuidedSurgery,14,46,104,,1,1,1,1
CognizantOneDevOps,0,7,0,,0,0,0,0
cognoma,0,4,0,,0,0,0,0
CognutSecurity,0,5,0,,0,0,0,0
cogu,6,17,43,,1,1,1,1
cohenjo,0,2,0,,0,0,0,0
coherence-project,19,14,0,,1,0,0,1
coin-or,0,157,0,,0,0,0,0
coinbase,13,2,5,,1,1,1,1
coinkite,1,5,11,,1,1,1,1
coinorama,0,30,0,,0,0,0,0
CoinProjects,0,19,2,,0,1,0,1
coins13,0,6,0,,0,0,0,0
CoinTK,0,5,0,,0,0,0,0
coiot-ble,22,13,53,,1,1,1,1
cojocar,0,2,0,,0,0,0,0
cokelaer,2,6,0,,1,0,0,1
colab,37,19,20,,1,1,1,1
colab-chat,3,3,9,,1,1,1,1
coldezera,0,4,2,,0,1,0,1
coldfix,15,135,64,,1,1,1,1
coldfog,0,1,1,,0,1,0,1
coldfusion39,0,3,0,,0,0,0,0
coldmanck,0,3,0,,0,0,0,0
cole,9,19,21,,1,1,1,1
coleifer,62,229,84,,1,1,1,1
colemana,0,3,0,,0,0,0,0
colevahey,0,2,0,,0,0,0,0
colevscode,0,1,0,,0,0,0,0
colincsl,0,62,0,,0,0,0,0
ColinDuquesnoy,1,2,4,,1,1,1,1
colinhiggs,7,9,5,,1,1,1,1
colinhoglund,0,11,2,,0,1,0,1
colinhowe,1,5,2,,1,1,1,1
colinlaney,0,4,0,,0,0,0,0
colinmorris,3,2,4,,1,1,1,1
coll-gate,25,28,56,,1,1,1,1
collab-project,1,1,1,,1,1,1,1
collab-uniba,0,8,0,,0,0,0,0
CollasLab,0,16,9,,0,1,0,1
CollinRooney12,0,11,0,,0,0,0,0
Collisionc,0,11,0,,0,0,0,0
coloft,2,25,2,,1,1,1,1
ColonelThirtyTwo,1,4,2,,1,1,1,1
colonyhq,2,11,18,,1,1,1,1
color,0,1,0,,0,0,0,0
ColoradoSchoolOfMines,1,15,26,,1,1,1,1
Colorbleed,2,11,1,,1,1,1,1
ColoredInsaneAsylums,0,10,0,,0,0,0,0
Colorsublime,0,4,8,,0,1,0,1
ColossusCoinXT,0,19,0,,0,0,0,0
colour-science,0,11,16,,0,1,0,1
ColtonProvias,5,16,2,,1,1,1,1
columbia,0,13,15,,0,1,0,1
ColumbiaDVMM,1,32,0,,1,0,0,1
ColumbiaSC-Tech,1,14,2,,1,1,1,1
COMBINE-lab,0,5,0,,0,0,0,0
combogenomics,0,24,0,,0,0,0,0
combust,75,14,22,,1,1,1,1
cometa,2,1,0,,1,0,0,1
cometaj2,1,2,0,,1,0,0,1
CometVisu,0,8,3,,0,1,0,1
comger,0,16,3,,0,1,0,1
comic,16,80,67,,1,1,1,1
commaai,20,119,95,,1,1,1,1
commandline,5,6,0,,1,0,0,1
CommerceDataService,0,3,0,,0,0,0,0
CommitAnalyzingService,10,2,0,,1,0,0,1
common-workflow-language,14,71,55,,1,1,1,1
commoncrawl,0,27,1,,0,1,0,1
Commonists,0,1,1,,0,1,0,1
Commonjava,0,2,0,,0,0,0,0
CommonsDev,0,47,11,,0,1,0,1
commonsearch,9,63,1,,1,1,1,1
commonsense,20,79,34,,1,1,1,1
commonsmachinery,0,6,0,,0,0,0,0
commontk,1,4,2,,1,1,1,1
commonwealth-of-puerto-rico,23,38,9,,1,1,1,1
CommunicationsSecurityEstablishment,1,1,0,,1,0,0,1
CommunityHoneyNetwork,0,7,12,,0,1,0,1
commx,1,4,1,,1,1,1,1
comoga,1,2,2,,1,1,1,1
comp-imaging,10,100,8,,1,1,1,1
comp-journalism,2,21,0,,1,0,0,1
COMP6206-vision-based-pulse-detection,0,4,0,,0,0,0,0
ComparativeGenomicsToolkit,4,61,8,,1,1,1,1
compas-dev,32,625,343,,1,1,1,1
compbiol,0,54,10,,0,1,0,1
compgeog,0,20,2,,0,1,0,1
comphist,0,20,2,,0,1,0,1
CompileInc,3,13,25,,1,1,1,1
compiz-reloaded,0,13,0,,0,0,0,0
CompLab-StonyBrook,2,32,2,,1,1,1,1
ComplexNetTSP,0,17,0,,0,0,0,0
compmech,0,36,0,,0,0,0,0
compmem,4,9,0,,1,0,0,1
compmetagen,0,23,0,,0,0,0,0
compose,0,1,0,,0,0,0,0
compose-grandtour,0,4,0,,0,0,0,0
CompPhysics,7,6,7,,1,1,1,1
comprna,4,36,0,,1,0,0,1
CompSciCabal,0,17,12,,0,1,0,1
compsoc-ssc,0,7,7,,0,1,0,1
compunova,7,13,13,,1,1,1,1
ComputerScienceHouse,1,61,31,,1,1,1,1
comstud,10,3,3,,1,1,1,1
comtihon,0,23,151,,0,1,0,1
comynli,5,4,5,,1,1,1,1
comzeradd,0,1,0,,0,0,0,0
conan-equal-newone,1,14,0,,1,0,0,1
conan-io,51,292,410,,1,1,1,1
conbus,0,2,54,,0,1,0,1
concentricsky,87,50,69,,1,1,1,1
Conchylicultor,3,7,24,,1,1,1,1
conchyliculture,0,1,3,,0,1,0,1
concordusapps,4,9,4,,1,1,1,1
concretecloud,0,1,1,,0,1,0,1
concurrence,20,20,25,,1,1,1,1
conda,12,54,81,,1,1,1,1
conda-forge,0,39,5,,0,1,0,1
condemil,2,3,1,,1,1,1,1
condo4,0,4,0,,0,0,0,0
condograde,0,15,1,,0,1,0,1
conferency,0,24,11,,0,1,0,1
ConflictGK,1,66,0,,1,0,0,1
confluentinc,0,1,21,,0,1,0,1
Confucij,0,1,0,,0,0,0,0
congredi,0,24,15,,0,1,0,1
conjure-up,22,55,68,,1,1,1,1
conlamon,0,3,3,,0,1,0,1
Connectify,0,1,1,,0,1,0,1
connectome-ai,0,2,10,,0,1,0,1
connectordb,0,4,3,,0,1,0,1
Connexions,17,43,30,,1,1,1,1
connorcoley,0,59,0,,0,0,0,0
ConnorDillon,0,13,9,,0,1,0,1
conorpp,0,3,0,,0,0,0,0
conorsch,0,15,3,,0,1,0,1
ConPaaS-team,11,173,12,,1,1,1,1
conrado,1,6,0,,1,0,0,1
consbio,48,105,19,,1,1,1,1
ConsenSys,2,9,3,,1,1,1,1
ConstantineLignos,0,15,14,,0,1,0,1
ConstantinT,0,5,5,,0,1,0,1
Constellation,0,9,0,,0,0,0,0
ConstellationApps,0,2,8,,0,1,0,1
constverum,1,12,18,,1,1,1,1
consultit,0,4,1,,0,1,0,1
ConsumerAffairs,9,1,0,,1,0,0,1
containers-ftw,3,1,0,,1,0,0,1
containerum,0,17,0,,0,0,0,0
contains-io,10,22,6,,1,1,1,1
contextio,128,24,0,,1,0,0,1
ContextLab,8,186,7,,1,1,1,1
ContextLogic,0,2,2,,0,1,0,1
ContinuumIO,71,305,87,,1,1,1,1
Contraz,29,44,58,,1,1,1,1
control-center,0,5,2,,0,1,0,1
controversial,22,22,45,,1,1,1,1
conversationai,6,305,16,,1,1,1,1
convexengineering,3,13,1,,1,1,1,1
conveyal,0,3,0,,0,0,0,0
conwetlab,19,14,14,,1,1,1,1
coodoing,0,1,0,,0,0,0,0
cooijmanstim,0,2,0,,0,0,0,0
cookbrite,4,10,4,,1,1,1,1
cookkkie,19,44,40,,1,1,1,1
cool-RR,0,10,4,,0,1,0,1
coolblaze03,0,1,0,,0,0,0,0
cooldome,1,6,2,,1,1,1,1
coolnay309,0,51,0,,0,0,0,0
CoolProp,2,152,1,,1,1,1,1
cooncesean,0,2,1,,0,1,0,1
cooox,0,3,5,,0,1,0,1
cooperative-computing-lab,31,69,12,,1,1,1,1
cooperlees,0,3,1,,0,1,0,1
coopie,1,21,6,,1,1,1,1
Coopss,0,1,0,,0,0,0,0
copitux,16,5,17,,1,1,1,1
CopOnTheRun,0,11,0,,0,0,0,0
coq,2,18,1,,1,1,1,1
coquelicot,0,13,5,,0,1,0,1
corakwue,12,40,70,,1,1,1,1
corani,0,1,0,,0,0,0,0
coraxx,0,4,0,,0,0,0,0
corbett,0,2,0,,0,0,0,0
cordery,3,10,11,,1,1,1,1
cordmata,2,2,48,,1,1,1,1
CordySmith,0,2,0,,0,0,0,0
CORE-GATECH-GROUP,26,55,72,,1,1,1,1
CoreArray,0,1,0,,0,0,0,0
coreboot,2,12,2,,1,1,1,1
coreGreenberet,0,13,7,,0,1,0,1
coremind-oss,18,16,80,,1,1,1,1
coreos,4,11,0,,1,0,0,1
CoreSecurity,11,72,44,,1,1,1,1
cornell-brg,25,125,107,,1,1,1,1
cornell-cup,0,3,2,,0,1,0,1
cornell-lic,0,3,0,,0,0,0,0
corochann,0,6,5,,0,1,0,1
Corollarium,0,1,0,,0,0,0,0
coronalabs,0,2,0,,0,0,0,0
corpnewt,0,4,0,,0,0,0,0
corpusmusic,0,9,0,,0,0,0,0
corradio,0,80,0,,0,0,0,0
CorralPeltzer,0,5,2,,0,1,0,1
corredD,10,2,0,,1,0,0,1
correl,53,11,0,,1,0,0,1
cortesi,46,61,43,,1,1,1,1
cortical-io,0,16,0,,0,0,0,0
coruus,0,2,0,,0,0,0,0
corvette-berkeley,1,1,0,,1,0,0,1
corydodt,11,9,31,,1,1,1,1
corydolphin,7,15,0,,1,0,0,1
coryjog,0,13,0,,0,0,0,0
CorySimon,0,5,0,,0,0,0,0
cosanlab,0,6,0,,0,0,0,0
cosarara97,5,28,4,,1,1,1,1
CosasDePuma,0,1,0,,0,0,0,0
cosine0,0,1,0,,0,0,0,0
coslyk,2,8,0,,1,0,0,1
cosmicBboy,3,13,8,,1,1,1,1
CosmicFish,0,7,1,,0,1,0,1
cosminbasca,1,38,16,,1,1,1,1
cosmir,0,8,13,,0,1,0,1
cosmo-ethz,24,73,41,,1,1,1,1
COSMOGRAIL,0,4,0,,0,0,0,0
cosmoharrigan,11,21,2,,1,1,1,1
cosmozhang,0,8,0,,0,0,0,0
CospanDesign,0,419,45,,0,1,0,1
Cospel,0,2,4,,0,1,0,1
cossacklabs,0,2,1,,0,1,0,1
cossatot,0,3,0,,0,0,0,0
costastf,1,4,20,,1,1,1,1
costela,0,6,3,,0,1,0,1
costular,1,1,5,,1,1,1,1
cosven,19,62,131,,1,1,1,1
couchapp,11,10,3,,1,1,1,1
couchbase,65,167,330,,1,1,1,1
couchbaselabs,0,11,0,,0,0,0,0
CouchPotato,68,746,66,,1,1,1,1
counsyl,1,4,10,,1,1,1,1
countergram,0,2,3,,0,1,0,1
CounterpartyXCP,5,46,1,,1,1,1,1
CountZer0,26,1,3,,1,1,1,1
COUR4G3,0,2,2,,0,1,0,1
cournape,69,259,47,,1,1,1,1
coursera,1,17,35,,1,1,1,1
coursera-dl,3,25,12,,1,1,1,1
Covata,0,6,7,,0,1,0,1
CovenantEyes,0,28,0,,0,0,0,0
coveralls-clients,5,2,10,,1,1,1,1
covertcodes,0,1,0,,0,0,0,0
coxlab,0,8,0,,0,0,0,0
coxley,1,8,2,,1,1,1,1
coyotevz,5,5,3,,1,1,1,1
coyove,0,3,0,,0,0,0,0
cpacia,1,14,1,,1,1,1,1
cpacker,0,8,0,,0,0,0,0
cpavlina,2,4,11,,1,1,1,1
cpburnz,2,13,15,,1,1,1,1
cpchrispye,6,18,21,,1,1,1,1
cpcloud,6,7,7,,1,1,1,1
cpearce,0,19,0,,0,0,0,0
cpenv,4,11,19,,1,1,1,1
cpfair,8,70,30,,1,1,1,1
CPFL,2,55,7,,1,1,1,1
cphyc,0,1,0,,0,0,0,0
cpitclaudel,3,11,8,,1,1,1,1
cpp3ds,0,1,0,,0,0,0,0
CPqD,0,1,0,,0,0,0,0
cproctor,4,4,0,,1,0,0,1
cprogrammer1994,8,15,195,,1,1,1,1
CptMonac,1,6,2,,1,1,1,1
cptx032,1,1,22,,1,1,1,1
cpury,3,10,0,,1,0,0,1
cqcarrow,3,5,10,,1,1,1,1
cqlengine,11,34,68,,1,1,1,1
cqse,0,4,2,,0,1,0,1
CQuIC,0,20,4,,0,1,0,1
cr,0,2,0,,0,0,0,0
cr0hn,0,21,3,,0,1,0,1
cr33dog,1,1,0,,1,0,0,1
cra16,0,3,0,,0,0,0,0
crackinglandia,0,4,7,,0,1,0,1
craffel,0,93,30,,0,1,0,1
craft-ai,1,82,53,,1,1,1,1
craftr-build,1,14,4,,1,1,1,1
Craig-Macomber,0,2,0,,0,0,0,0
craigcabrey,1,3,6,,1,1,1,1
CraigKelly,2,13,0,,1,0,0,1
craiglabenz,25,14,13,,1,1,1,1
craigslist,3,1,3,,1,1,1,1
crainiarc,2,8,2,,1,1,1,1
craneworks,20,29,8,,1,1,1,1
crange,0,1,0,,0,0,0,0
cranklin,1,19,35,,1,1,1,1
crankycoder,0,6,0,,0,0,0,0
crappycrypto,0,4,5,,0,1,0,1
Crapworks,1,1,1,,1,1,1,1
CraryPrimitiveMan,0,2,0,,0,0,0,0
crash-horror,0,2,0,,0,0,0,0
crashtua,2,2,24,,1,1,1,1
crate,6,66,32,,1,1,1,1
CraveFood,6,9,1,,1,1,1,1
crawfordsm,0,4,0,,0,0,0,0
craws,89,58,158,,1,1,1,1
crazedpsyc,3,3,0,,1,0,0,1
crazydevman,1,3,0,,1,0,0,1
crazydonkey200,0,8,0,,0,0,0,0
crccheck,6,12,9,,1,1,1,1
crcollins,2,128,35,,1,1,1,1
crcx,3,3,0,,1,0,0,1
crdoconnor,8,43,26,,1,1,1,1
cread,0,8,0,,0,0,0,0
creafz,0,9,4,,0,1,0,1
creare-com,0,2,2,,0,1,0,1
creasty,0,3,0,,0,0,0,0
creationix,0,2,0,,0,0,0,0
creativecommons,4,34,7,,1,1,1,1
CreativeMachinesLab,2,33,0,,1,0,0,1
CreditEaseDBA,5,11,3,,1,1,1,1
creekorful,0,1,0,,0,0,0,0
creimers,0,1,0,,0,0,0,0
crestify,0,4,17,,0,1,0,1
crestonbunch,0,22,3,,0,1,0,1
Cretezy,2,1,0,,1,0,0,1
crflynn,0,8,8,,0,1,0,1
CRImier,2,109,34,,1,1,1,1
CrimsonInn,0,1,0,,0,0,0,0
criptych,2,1,9,,1,1,1,1
crisbal,0,2,0,,0,0,0,0
crispab,1,1,3,,1,1,1,1
crisschan,0,1,0,,0,0,0,0
crista,4,47,0,,1,0,0,1
cristiandima,0,17,0,,0,0,0,0
cristianoliveira,0,3,10,,0,1,0,1
cristicbz,0,2,0,,0,0,0,0
criteo,13,60,29,,1,1,1,1
crlane,4,6,20,,1,1,1,1
crm416,0,46,7,,0,1,0,1
cro-ki,13,8,12,,1,1,1,1
croach,15,4,6,,1,1,1,1
CroatianMeteorNetwork,4,26,0,,1,0,0,1
crobertsbmw,0,3,0,,0,0,0,0
crobinso,0,16,2,,0,1,0,1
croccam,0,1,0,,0,0,0,0
CroceRossaItaliana,33,56,118,,1,1,1,1
crocs-muni,0,22,0,,0,0,0,0
croessner,0,2,0,,0,0,0,0
CroissanceCommune,99,255,327,,1,1,1,1
cromod,0,1,0,,0,0,0,0
Crompulence,1,7,2,,1,1,1,1
croneter,6,25,60,,1,1,1,1
cronitorio,0,3,0,,0,0,0,0
crops,0,2,0,,0,0,0,0
croscon,20,18,20,,1,1,1,1
crossbario,31,627,349,,1,1,1,1
crossbridge-community,5,12,0,,1,0,0,1
crosscompute,0,4,0,,0,0,0,0
crosslife,0,1,0,,0,0,0,0
crossroadchurch,56,52,40,,1,1,1,1
crossroads1112,0,3,1,,0,1,0,1
crosswalk-project,19,100,59,,1,1,1,1
crotwell,51,1,0,,1,0,0,1
crowd4u,0,3,6,,0,1,0,1
crowdata,5,3,0,,1,0,0,1
crowdcomms,0,3,0,,0,0,0,0
crowdhorn,0,2,1,,0,1,0,1
crowdrec,0,5,0,,0,0,0,0
crowdresearch,15,16,13,,1,1,1,1
CrowdTruth,0,25,4,,0,1,0,1
crowelmk,0,2,0,,0,0,0,0
Crowndev,0,24,2,,0,1,0,1
crowsonkb,5,3,4,,1,1,1,1
croxis,0,6,1,,0,1,0,1
crpurcell,0,12,7,,0,1,0,1
CRS-support,0,4,0,,0,0,0,0
crs4,36,121,86,,1,1,1,1
cruatta,0,3,1,,0,1,0,1
crunchmail,49,61,56,,1,1,1,1
crunchyroll,2,1,0,,1,0,0,1
crustymonkey,0,6,2,,0,1,0,1
crutchcorn,2,18,1,,1,1,1,1
CRutkowski,0,2,0,,0,0,0,0
CruzR,0,4,1,,0,1,0,1
crvv,0,2,1,,0,1,0,1
Crypt0s,5,11,3,,1,1,1,1
crypt3lx2k,0,5,20,,0,1,0,1
cryptape,2,4,2,,1,1,1,1
cryptapus,5,86,17,,1,1,1,1
cryptk,11,26,41,,1,1,1,1
cryptobanana,3,18,0,,1,0,0,1
CryptoBridge,0,3,0,,0,0,0,0
CryptoExperts,0,10,35,,0,1,0,1
cryptosense,0,1,0,,0,0,0,0
Cryptoverse,1,2,0,,1,0,0,1
Crystalnix,1,2,0,,1,0,0,1
crystalspace,1,4,0,,1,0,0,1
cryzed,0,1,0,,0,0,0,0
crzysdrs,0,5,0,,0,0,0,0
cs-au-dk,29,160,94,,1,1,1,1
cs-chan,3,8,9,,1,1,1,1
cs-education,0,1,0,,0,0,0,0
cs01,0,2,3,,0,1,0,1
cs109,0,23,0,,0,0,0,0
cs60050,1,2,0,,1,0,0,1
csababarta,0,2,0,,0,0,0,0
csaez,0,2,0,,0,0,0,0
csaftoiu,3,15,3,,1,1,1,1
csail-csg,0,1,0,,0,0,0,0
csanquer,0,6,0,,0,0,0,0
csantosbh,0,2,0,,0,0,0,0
csb-toolbox,3,74,178,,1,1,1,1
csbok,0,4,1,,0,1,0,1
csc-training,0,4,0,,0,0,0,0
cscanlin,0,24,18,,0,1,0,1
cscashby,4,6,0,,1,0,0,1
CSCfi,0,8,12,,0,1,0,1
cschenck,24,95,34,,1,1,1,1
CSchoel,0,13,0,,0,0,0,0
cschwede,1,2,5,,1,1,1,1
cscorley,0,21,0,,0,0,0,0
CSD-Public,4,11,22,,1,1,1,1
csdms,33,40,185,,1,1,1,1
csdms-contrib,0,6,0,,0,0,0,0
csecutsc,0,1,0,,0,0,0,0
cseed,0,9,2,,0,1,0,1
cseelye,2,1,0,,1,0,0,1
csgwon,0,19,0,,0,0,0,0
cshallue,4,182,40,,1,1,1,1
csieg,25,10,2,,1,1,1,1
CSIRT-MU,0,114,0,,0,0,0,0
csirtgadgets,9,90,22,,1,1,1,1
