DynCount,FuncCount,DecCount,DynFunc,FuncDec,DynDec,Relatedness
16,8,26,1,1,1,1
16,15,27,1,1,1,1
16,15,27,1,1,1,1
16,8,26,1,1,1,1
8,15,1,1,1,1,1
16,8,26,1,1,1,1
8,15,1,1,1,1,1
8,15,1,1,1,1,1
8,15,1,1,1,1,1
8,15,1,1,1,1,1
2,2,3,1,1,1,1
7,20,32,1,1,1,1
0,22,0,0,0,0,0
0,2,0,0,0,0,0
10,24,42,1,1,1,1
0,1,0,0,0,0,0
9,52,60,1,1,1,1
790,1820,1716,1,1,1,1
0,18,0,0,0,0,0
4,31,2,1,1,1,1
0,0,2,0,0,0,0
1,7,0,1,0,0,1
1,8,0,1,0,0,1
52,113,0,1,0,0,1
0,5,0,0,0,0,0
0,1,0,0,0,0,0
7,1,5,1,1,1,1
2,7,2,1,1,1,1
18,32,51,1,1,1,1
0,0,4,0,0,0,0
0,66,10,0,1,0,1
0,3,2,0,1,0,1
1,1,0,1,0,0,1
0,18,6,0,1,0,1
0,5,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
22,48,69,1,1,1,1
0,4,0,0,0,0,0
26,52,81,1,1,1,1
11,18,2,1,1,1,1
0,1,0,0,0,0,0
0,5,12,0,1,0,1
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
1,16,26,1,1,1,1
1,6,3,1,1,1,1
21,48,3,1,1,1,1
1,5,0,1,0,0,1
6,5,11,1,1,1,1
18,1,1,1,1,1,1
5,5,0,1,0,0,1
19,15,1,1,1,1,1
44,23,65,1,1,1,1
14,33,1,1,1,1,1
2518,3354,699,1,1,1,1
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
1823,1928,1087,1,1,1,1
1,7,2,1,1,1,1
0,2,0,0,0,0,0
0,11,38,0,1,0,1
0,5,0,0,0,0,0
6,19,2,1,1,1,1
0,1,0,0,0,0,0
0,15,0,0,0,0,0
229,512,241,1,1,1,1
0,5,0,0,0,0,0
0,22,1,0,1,0,1
13,97,4,1,1,1,1
35,25,30,1,1,1,1
1,1,0,1,0,0,1
2,2,0,1,0,0,1
6,1,0,1,0,0,1
1,3,0,1,0,0,1
30,8,3,1,1,1,1
0,0,1,0,0,0,0
0,6,0,0,0,0,0
27,80,99,1,1,1,1
0,6,0,0,0,0,0
3,4,0,1,0,0,1
0,4,0,0,0,0,0
0,0,1,0,0,0,0
527,609,330,1,1,1,1
16,15,27,1,1,1,1
0,7,0,0,0,0,0
1,1,0,1,0,0,1
6,28,1,1,1,1,1
1,54,0,1,0,0,1
0,21,5,0,1,0,1
61,198,55,1,1,1,1
0,2,1,0,1,0,1
0,1,0,0,0,0,0
0,0,5,0,0,0,0
2,21,12,1,1,1,1
7,6,8,1,1,1,1
786,1151,477,1,1,1,1
1,8,4,1,1,1,1
174,103,72,1,1,1,1
8,28,0,1,0,0,1
0,18,0,0,0,0,0
45,58,0,1,0,0,1
0,0,5,0,0,0,0
0,9,4,0,1,0,1
0,8,0,0,0,0,0
389,671,108,1,1,1,1
0,20,0,0,0,0,0
8,129,0,1,0,0,1
0,1,0,0,0,0,0
4,0,38,0,0,1,1
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,1,0,1,0,1
0,2,0,0,0,0,0
29,141,27,1,1,1,1
0,15,1,0,1,0,1
0,32,11,0,1,0,1
3,13,0,1,0,0,1
4,3,0,1,0,0,1
0,1,0,0,0,0,0
0,0,5,0,0,0,0
0,5,0,0,0,0,0
0,3,45,0,1,0,1
2,13,20,1,1,1,1
467,458,113,1,1,1,1
0,104,0,0,0,0,0
1,1,0,1,0,0,1
0,11,0,0,0,0,0
1,11,17,1,1,1,1
0,8,1,0,1,0,1
127,97,55,1,1,1,1
11,8,0,1,0,0,1
9,5,2,1,1,1,1
163,124,316,1,1,1,1
0,1,2,0,1,0,1
2,37,5,1,1,1,1
0,6,0,0,0,0,0
0,2,0,0,0,0,0
32,7,8,1,1,1,1
59,152,43,1,1,1,1
0,1,0,0,0,0,0
387,685,147,1,1,1,1
4,59,8,1,1,1,1
12,25,4,1,1,1,1
0,0,24,0,0,0,0
21,258,297,1,1,1,1
0,5,0,0,0,0,0
0,2,0,0,0,0,0
0,2,2,0,1,0,1
50,9,47,1,1,1,1
0,4,0,0,0,0,0
276,577,139,1,1,1,1
1559,2313,1413,1,1,1,1
0,2,0,0,0,0,0
2,3,44,1,1,1,1
2530,3794,3074,1,1,1,1
1,1,0,1,0,0,1
1,5,0,1,0,0,1
0,1,0,0,0,0,0
0,5,0,0,0,0,0
0,1,0,0,0,0,0
17,11,1,1,1,1,1
0,4,6,0,1,0,1
5,3,45,1,1,1,1
1,0,82,0,0,1,1
5,0,0,0,0,0,0
0,1,0,0,0,0,0
0,3,0,0,0,0,0
0,1,0,0,0,0,0
296,1639,77,1,1,1,1
0,15,7,0,1,0,1
115,153,167,1,1,1,1
566,1034,411,1,1,1,1
243,140,50,1,1,1,1
0,1,1,0,1,0,1
0,2,0,0,0,0,0
0,31,0,0,0,0,0
11,76,52,1,1,1,1
2,0,0,0,0,0,0
16,19,25,1,1,1,1
0,2,0,0,0,0,0
10,6,0,1,0,0,1
0,1,0,0,0,0,0
0,4,2,0,1,0,1
2,7,4,1,1,1,1
0,9,3,0,1,0,1
3,5,5,1,1,1,1
0,1,0,0,0,0,0
1,4,20,1,1,1,1
62,148,0,1,0,0,1
6,17,0,1,0,0,1
0,7,0,0,0,0,0
0,2,17,0,1,0,1
7,52,5,1,1,1,1
35,19,0,1,0,0,1
50,128,80,1,1,1,1
91,78,173,1,1,1,1
0,8,3,0,1,0,1
0,10,0,0,0,0,0
596,906,519,1,1,1,1
1,0,1,0,0,1,1
123,146,79,1,1,1,1
0,2,0,0,0,0,0
0,2,0,0,0,0,0
0,7,2,0,1,0,1
0,1,0,0,0,0,0
3,19,4,1,1,1,1
0,2,2,0,1,0,1
0,1,0,0,0,0,0
0,4,0,0,0,0,0
0,2,0,0,0,0,0
1,0,0,0,0,0,0
0,3,0,0,0,0,0
415,723,184,1,1,1,1
375,633,232,1,1,1,1
0,1,0,0,0,0,0
0,7,6,0,1,0,1
8,40,6,1,1,1,1
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,17,0,0,0,0,0
1,27,0,1,0,0,1
0,10,0,0,0,0,0
0,39,45,0,1,0,1
121,284,272,1,1,1,1
0,1,0,0,0,0,0
0,2,2,0,1,0,1
273,457,717,1,1,1,1
0,2,0,0,0,0,0
2,17,4,1,1,1,1
404,5470,2709,1,1,1,1
26,58,15,1,1,1,1
0,2,0,0,0,0,0
8,28,0,1,0,0,1
0,1,1,0,1,0,1
0,2,0,0,0,0,0
0,0,1,0,0,0,0
0,1,0,0,0,0,0
243,987,780,1,1,1,1
6,5,0,1,0,0,1
22,68,30,1,1,1,1
0,3,0,0,0,0,0
0,3,0,0,0,0,0
1,1,2,1,1,1,1
12,27,1,1,1,1,1
0,2,0,0,0,0,0
1,15,0,1,0,0,1
1,5,0,1,0,0,1
2,0,0,0,0,0,0
0,12,17,0,1,0,1
52,142,44,1,1,1,1
182,46,4,1,1,1,1
1,2,0,1,0,0,1
56,238,35,1,1,1,1
0,1,0,0,0,0,0
0,1,0,0,0,0,0
22,123,8,1,1,1,1
25,31,5,1,1,1,1
29,116,230,1,1,1,1
0,47,6,0,1,0,1
0,0,3,0,0,0,0
7,6,0,1,0,0,1
123,244,0,1,0,0,1
1,3,0,1,0,0,1
0,0,6,0,0,0,0
7,14,9,1,1,1,1
0,1,0,0,0,0,0
0,6,0,0,0,0,0
294,433,253,1,1,1,1
7,1,0,1,0,0,1
0,0,13,0,0,0,0
0,1,0,0,0,0,0
0,9,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,5,0,0,0,0,0
0,0,2,0,0,0,0
37,32,34,1,1,1,1
51,46,22,1,1,1,1
0,7,0,0,0,0,0
1,11,0,1,0,0,1
4,1,0,1,0,0,1
22,6,0,1,0,0,1
0,1,0,0,0,0,0
0,2,2,0,1,0,1
2,4,4,1,1,1,1
6,22,3,1,1,1,1
0,1,0,0,0,0,0
38,75,15,1,1,1,1
1471,1411,870,1,1,1,1
3,8,2,1,1,1,1
0,49,47,0,1,0,1
1,0,0,0,0,0,0
0,1,0,0,0,0,0
8,122,63,1,1,1,1
6,2,0,1,0,0,1
0,13,0,0,0,0,0
0,1,0,0,0,0,0
2,8,0,1,0,0,1
0,6,0,0,0,0,0
0,4,0,0,0,0,0
3,25,5,1,1,1,1
0,2,0,0,0,0,0
2,0,0,0,0,0,0
0,10,0,0,0,0,0
3,4,0,1,0,0,1
1,0,6,0,0,1,1
2,2,0,1,0,0,1
1,10,0,1,0,0,1
0,6,8,0,1,0,1
0,3,0,0,0,0,0
46,202,14,1,1,1,1
0,0,13,0,0,0,0
0,0,23,0,0,0,0
2,20,50,1,1,1,1
1,4,0,1,0,0,1
1,3,0,1,0,0,1
7,4,17,1,1,1,1
0,2,0,0,0,0,0
0,20,0,0,0,0,0
0,0,8,0,0,0,0
85,87,16,1,1,1,1
5,0,0,0,0,0,0
1,3,0,1,0,0,1
0,2,0,0,0,0,0
0,2,2,0,1,0,1
0,2,0,0,0,0,0
1,5,0,1,0,0,1
1,3,0,1,0,0,1
307,1725,86,1,1,1,1
35,302,20,1,1,1,1
2,7,12,1,1,1,1
7,0,1,0,0,1,1
0,0,1,0,0,0,0
0,0,10,0,0,0,0
132,1250,965,1,1,1,1
0,1,0,0,0,0,0
0,4,0,0,0,0,0
0,13,0,0,0,0,0
1,19,0,1,0,0,1
0,14,4,0,1,0,1
0,1,0,0,0,0,0
0,3,2,0,1,0,1
0,1,0,0,0,0,0
0,2,2,0,1,0,1
13,13,4,1,1,1,1
0,1,1,0,1,0,1
1153,6736,883,1,1,1,1
0,2,2,0,1,0,1
0,2,0,0,0,0,0
2,2,0,1,0,0,1
0,4,0,0,0,0,0
0,11,0,0,0,0,0
84,79,0,1,0,0,1
0,1,0,0,0,0,0
44,113,88,1,1,1,1
4,13,12,1,1,1,1
0,1,0,0,0,0,0
1,14,0,1,0,0,1
0,2,0,0,0,0,0
41,48,23,1,1,1,1
13,16,34,1,1,1,1
0,4,0,0,0,0,0
19,29,5,1,1,1,1
0,1,0,0,0,0,0
12,315,126,1,1,1,1
0,1,0,0,0,0,0
3,3,0,1,0,0,1
39,17,4,1,1,1,1
10,23,25,1,1,1,1
0,33,0,0,0,0,0
0,1,0,0,0,0,0
0,2,2,0,1,0,1
5,4,12,1,1,1,1
41,42,29,1,1,1,1
136,291,136,1,1,1,1
36,619,4,1,1,1,1
0,1,0,0,0,0,0
9,27,0,1,0,0,1
1,1,1,1,1,1,1
0,4,0,0,0,0,0
1,5,0,1,0,0,1
36,469,164,1,1,1,1
104,74,23,1,1,1,1
156,302,401,1,1,1,1
0,4,0,0,0,0,0
0,2,0,0,0,0,0
1,0,10,0,0,1,1
7,23,28,1,1,1,1
0,9,0,0,0,0,0
2,27,0,1,0,0,1
11,6,40,1,1,1,1
7,53,1,1,1,1,1
8,3,80,1,1,1,1
30,48,38,1,1,1,1
0,17,0,0,0,0,0
16,20,43,1,1,1,1
308,1613,79,1,1,1,1
1,12,0,1,0,0,1
2,2,0,1,0,0,1
34,65,43,1,1,1,1
1220,1983,1060,1,1,1,1
17,31,32,1,1,1,1
0,16,0,0,0,0,0
321,102,149,1,1,1,1
5,37,10,1,1,1,1
543,1713,1075,1,1,1,1
0,92,0,0,0,0,0
1,0,0,0,0,0,0
0,1,0,0,0,0,0
3,3,0,1,0,0,1
0,2,0,0,0,0,0
2,0,0,0,0,0,0
110,356,241,1,1,1,1
0,63,1,0,1,0,1
2,23,12,1,1,1,1
0,18,0,0,0,0,0
19,41,25,1,1,1,1
0,0,7,0,0,0,0
2,46,0,1,0,0,1
3,4,1,1,1,1,1
0,31,0,0,0,0,0
0,1,0,0,0,0,0
37,21,1,1,1,1,1
41,55,29,1,1,1,1
0,25,15,0,1,0,1
0,1,0,0,0,0,0
1,29,92,1,1,1,1
48,453,118,1,1,1,1
0,1,0,0,0,0,0
2,117,26,1,1,1,1
0,6,0,0,0,0,0
0,2,0,0,0,0,0
293,638,150,1,1,1,1
0,7,0,0,0,0,0
0,1,0,0,0,0,0
23,4,3,1,1,1,1
5,5,16,1,1,1,1
0,5,7,0,1,0,1
0,1,2,0,1,0,1
76,412,354,1,1,1,1
133,198,89,1,1,1,1
0,1,4,0,1,0,1
0,1,0,0,0,0,0
1264,1864,1497,1,1,1,1
0,9,2,0,1,0,1
2,95,2,1,1,1,1
