"Organization","DynCount","FuncCount","DecCount"
adfinis-sygroup,"2","26","7"
adicarlo,"0","8","4"
ADicksonLab,"0","60","53"
adityabansal,"0","26","3"
adityadua24,"0","12","7"
adlnet,"26","19","7"
admed,"2","9","4"
admesh,"0","5","2"
Admicos,"1","4","7"
Administrate,"9","6","34"
adminq80,"1","10","8"
admiralobvious,"7","1","8"
admitad,"1","158","21"
admk,"19","156","79"
adobe,"5","216","42"
adobe-research,"0","37","37"
adombeck,"0","3","2"
adonig,"0","6","7"
adragomir,"0","41","8"
adrian-lang,"7","19","1"
Adrian-Turjak,"5","1","11"
AdrianLC,"0","3","2"
adrianliaw,"3","20","8"
AdrianP-,"0","1","1"
adrienemery,"6","9","15"
AdrienGuille,"0","23","1"
adrienverge,"6","63","6"
AdrienVR,"0","4","12"
adrinjalali,"0","15","8"
adrn,"112","68","21"
adsabs,"11","49","34"
adulau,"0","5","4"
adurdin,"0","2","8"
AdvancedClimateSystems,"0","2","4"
advancedplotting,"0","11","5"
advancedtelematic,"1","10","4"
adyliu,"49","31","19"
Aearsis,"3","22","43"
aehlke,"14","33","93"
ael-code,"3","10","2"
Aenyhm,"3","4","13"
Aeolitus,"23","20","14"
AerisCloud,"1","50","14"
aerler,"2","46","1"
AeroPython,"0","5","112"
aerospaceresearch,"0","38","15"
aerospike,"7","164","21"
Aerotenna,"16","5","10"
aeroxis,"2","5","6"
aes,"0","19","1"
aestrivex,"3","25","2"
aetros,"16","11","7"
AEW2015,"0","3","4"
afedchin,"1","39","7"
afedynitch,"1","10","1"
Affirm,"2","32","6"
afg984,"10","13","36"
afgane,"0","2","16"
afilipovich,"1","9","7"
afimb,"10","33","7"
afl-mothership,"21","17","16"
aflaxman,"0","14","3"
afourmy,"38","96","46"
afrase,"9","12","41"
AfricasTalkingLtd,"0","18","2"
afrieder,"0","5","5"
afrittoli,"4","4","3"
afroisalreadyinu,"5","22","1"
after12am,"0","27","4"
agalitsyn,"0","9","1"
agarciamontoro,"2","9","9"
agateau,"8","63","9"
agdsn,"51","226","350"
ageitgey,"0","22","1"
agentOfChaos,"0","2","1"
agermanidis,"1","9","2"
ageron,"20","74","8"
agh-glk,"0","25","6"
agile-geoscience,"63","159","46"
agile4you,"13","19","27"
agileblaze,"268","310","255"
agiliq,"178","50","64"
agirardeaudale,"0","11","2"
agisoft-llc,"0","7","1"
AgnezIO,"2","4","7"
agonzalezro,"0","1","1"
agoragames,"80","59","61"
agoravoting,"53","66","39"
agra-uni-bremen,"3","22","1"
agramian,"4","2","4"
agraubert,"0","78","34"
agronholm,"0","6","6"
agschwender,"0","4","22"
agusmakmun,"1","13","5"
agx,"2","38","128"
agyorev,"0","2","2"
AHAPX,"8","53","45"
ahartoto,"0","1","72"
ahawker,"18","3","20"
ahcub,"0","14","2"
aheadley,"4","8","20"
aheck,"1","16","2"
aherlihy,"0","28","21"
aheui,"0","4","6"
ahitrin,"2","69","6"
ahjolinna,"0","1","4"
ahkab,"4","47","2"
ahmedalkabir,"0","1","1"
ahmedbodi,"0","15","2"
AhmedHani,"0","75","12"
ahmia,"1","8","2"
ahmontero,"0","1","8"
aholkner,"3","11","55"
ahtn,"8","25","12"
ahwillia,"8","39","1"
ai-se,"23","552","31"
aiakos,"37","15","74"
aicenter,"0","17","4"
aichaos,"2","3","3"
aigamedev,"12","9","1"
aiguofer,"1","6","2"
aijunbai,"1","13","19"
aikaterna,"10","13","2"
aikikode,"1","26","4"
ailling,"0","2","1"
aio-libs,"98","1737","482"
aioworkers,"30","48","59"
aipescience,"10","123","21"
AIR-EISTI,"0","2","1"
airbnb,"83","505","594"
AirSage,"6","8","4"
airspeed-velocity,"15","62","53"
airspeedswift,"0","5","2"
airypi,"15","10","8"
aisayko,"1","1","4"
aiscenblue,"4","2","7"
aishmittal,"0","2","1"
AISpace2,"4","249","11"
aissehust,"8","30","93"
aiven,"9","13","2"
ajaech,"0","2","1"
Ajapaik,"3","16","13"
ajbouh,"73","169","15"
ajcr,"0","2","3"
ajdavis,"2","7","1"
ajdawson,"5","38","16"
ajenhl,"2","24","9"
ajenkins-cargometrics,"0","14","34"
ajgrah2000,"4","8","5"
ajinabraham,"0","14","9"
ajing,"0","6","2"
ajjackson,"0","20","1"
ajk8,"0","1","2"
ajkxyz,"2","1","12"
ajmedford,"27","41","5"
ajpotato214,"0","1","2"
ajslater,"8","2","9"
ajtribick,"0","8","2"
ajtulloch,"4","21","3"
ajventer,"0","14","1"
ajyoon,"0","52","259"
ak3n,"1","5","6"
akaariai,"1","7","3"
akademikbilisim,"0","2","11"
Akagi201,"7","17","2"
akaihola,"25","90","8"
akamai-open,"10","8","1"
akampjes,"1","8","6"
akar43,"0","9","4"
akaszynski,"4","3","4"
akehrer,"3","1","7"
akej74,"2","7","1"
akfullfo,"4","1","10"
Akhail,"2","17","26"
akheros,"0","4","3"
akita8,"2","20","19"
akkana,"5","18","8"
akloster,"15","120","27"
akngs,"5","27","16"
akokai,"0","10","7"
akolishchak,"5","52","17"
akolpakov,"0","3","5"
akosiorek,"4","2","9"
akozumpl,"37","79","75"
akramer,"0","1","1"
akretion,"21","57","28"
akrherz,"25","132","1"
Akrog,"17","4","7"
akrylysov,"6","32","5"
AKSW,"4","55","7"
akuendig,"3","53","16"
Akuli,"9","41","4"
akvo,"92","78","52"
akx,"9","29","57"
alainjobart,"3","4","1"
Alamot,"0","4","1"
alanjds,"11","5","2"
alard,"1","4","2"
albalitz,"1","3","1"
albarji,"3","70","17"
albertaleksieiev,"3","17","3"
albertbup,"0","5","8"
albertmenglongli,"15","53","8"
albertyw,"1","8","6"
albertz,"239","167","132"
alculquicondor,"3","3","3"
aldanor,"14","24","79"
aldebaran,"28","114","102"
aldeka,"2","6","6"
aldro61,"2","30","29"
aldryn,"10","1","15"
Ale-,"4","12","4"
aleasoluciones,"2","15","3"
alecgorge,"0","2","1"
alecthomas,"24","17","13"
Alecto3-D,"23","61","93"
alehander42,"36","86","11"
alehenaff,"5","6","3"
aleixo,"0","3","6"
alej0varas,"5","2","1"
alejandroautalan,"19","29","16"
alejandrodumas,"2","12","1"
alejoar,"16","3","7"
aleju,"8","199","24"
AlekseyChudov,"12","14","6"
aleneum,"6","12","10"
aleontiev,"22","19","22"
alephdata,"11","50","44"
alephobjects,"40","83","77"
Alerion,"3","1","2"
aleroddepaz,"1","4","3"
alerta,"0","58","23"
AlertaDengue,"1","40","19"
alesdotio,"31","22","115"
alesnav,"31","38","29"
alessandro-zomparelli,"0","9","1"
AlessandroZ,"4","125","11"
aletheia7,"1","5","5"
alex,"6","45","24"
alex-pirozhenko,"1","33","30"
alex-sherman,"6","9","22"
alex-ta,"1","1","1"
alex8224,"2","19","21"
alexa-pi,"1","12","12"
alexander-bauer,"20","3","6"
alexanderad,"0","3","2"
AlexanderFabisch,"15","21","3"
alexanderjulo,"4","2","18"
AlexanderKaluzhny,"5","6","14"
alexandrebarachant,"28","225","173"
alexandreblin,"0","1","1"
AlexandreDecan,"31","51","30"
alexandres,"0","2","1"
alexandriagroup,"21","61","15"
alexandrovteam,"0","18","16"
alexandru,"3","5","5"
alexarnautu,"2","4","52"
alexazhou,"1","4","4"
alexbielen,"0","8","29"
alexcouper,"4","12","4"
alexforencich,"2","5687","260"
alexgorban,"6","183","16"
alexhayes,"7","16","2"
Alexis-benoist,"5","20","9"
AlexJF,"0","5","2"
alexkago,"2","8","2"
alexksikes,"19","32","42"
AlexKuhnle,"0","170","33"
alexkuz,"0","1","3"
alexlee-gk,"9","154","73"
alexmalykh,"2","1","1"
AlexMathew,"1","15","2"
alexmgr,"1","5","7"
alexmick,"0","7","4"
alexmojaki,"11","40","28"
alexortizrosado,"0","2","10"
alexprengere,"0","26","6"
Alexpux,"1","6","1"
alexras,"7","5","7"
AlexSafatli,"1","33","15"
alexsunday,"0","4","2"
alexsyrom,"3","5","2"
AlexTan-b-z,"6","25","7"
alexvanboxel,"8","3","7"
alfa-addon,"4","5","2"
alfred82santa,"0","15","1"
alfredfrancis,"1","17","1"
Alfredx,"0","2","2"
algobook,"1","1","6"
algolia,"8","36","38"
algorhythms,"1","555","13"
algorithm-ninja,"11","23","110"
algorithmiaio,"2","4","4"
algorithmic-music-exploration,"3","10","1"
aliaksandrb,"4","14","13"
alibaba,"4","29","41"
Alidron,"1","1","2"
Alignak-monitoring,"173","54","6"
Alignak-monitoring-contrib,"48","36","307"
alikzao,"10","19","8"
AliLozano,"6","3","1"
alimanfoo,"30","271","13"
alingse,"0","14","1"
aliok,"0","119","57"
aliostad,"0","10","1"
aliowka,"1","2","4"
alipsgh,"0","9","56"
Alir3z4,"8","50","12"
alisaifee,"18","82","68"
