"Organization","DynCount","FuncCount","DecCount"
aerler,"2","46","1"
aerospike,"7","164","21"
Aerotenna,"16","5","10"
aeroxis,"2","5","6"
aestrivex,"3","25","2"
aetros,"16","11","7"
aewallin,"1","86","0"
af,"2","3","0"
afedchin,"1","25","7"
afedynitch,"1","10","1"
Affirm,"2","32","6"
afg984,"10","13","36"
afilipovich,"1","9","7"
afimb,"10","33","7"
afl-mothership,"21","17","16"
afourmy,"38","96","46"
afrase,"9","12","41"
afrittoli,"4","4","3"
afroisalreadyinu,"5","22","1"
agarciamontoro,"2","9","9"
agateau,"8","63","9"
agdsn,"50","199","285"
agermanidis,"1","9","2"
ageron,"20","74","8"
agile-geoscience,"63","158","39"
agile4you,"13","19","27"
agileblaze,"268","309","255"
agiliq,"178","50","64"
AgnezIO,"2","4","7"
agoragames,"80","59","61"
agoravoting,"53","66","39"
agra-uni-bremen,"3","22","1"
agramian,"4","2","4"
agusmakmun,"1","13","5"
agx,"2","38","128"
ahaldane,"2","31","0"
AHAPX,"8","53","45"
ahawker,"18","3","20"
aheadley,"4","8","20"
aheck,"1","16","2"
ahitrin,"2","69","6"
ahkab,"4","47","2"
ahmad-taie,"4","21","0"
Ahmad31,"65","120","214"
ahmadnourallah,"7","7","0"
Ahmed-Nematallah,"4","2","0"
ahmedaliadeel,"8","14","0"
ahmia,"1","8","2"
aholkner,"3","11","55"
ahtn,"8","25","12"
ahuei123456,"4","3","0"
ahupowerdns,"2","2","14"
ahwillia,"8","39","1"
ai-se,"25","567","32"
aiakos,"37","15","74"
aichaos,"2","3","3"
aigamedev,"12","9","1"
aiguofer,"1","6","2"
aijunbai,"1","13","19"
aikaterna,"9","13","2"
aikikode,"1","26","4"
aimacode,"2","107","0"
aio-libs,"98","1710","482"
aioworkers,"30","48","59"
aipescience,"10","122","21"
airbnb,"83","505","594"
airlift,"2","2","0"
AirSage,"6","8","4"
airspeed-velocity,"15","62","53"
airtoxin,"1","5","0"
airypi,"15","10","8"
aisayko,"1","1","4"
aiscenblue,"4","2","7"
aisola,"5","5","0"
AISpace2,"4","249","11"
aissehust,"8","30","93"
aisthesis,"1","13","0"
aitjcize,"1","10","0"
aiueogawa,"8","14","0"
aiven,"9","13","2"
aivuk,"7","1","0"
Aixile,"34","2","0"
aixoss,"3","17","0"
Ajapaik,"3","16","13"
ajbouh,"73","169","15"
ajdavis,"2","7","1"
ajdawson,"5","38","16"
ajenhl,"2","24","9"
ajgrah2000,"4","8","5"
ajhager,"6","42","0"
ajkxyz,"2","1","12"
ajmedford,"27","41","5"
ajslater,"8","2","9"
ajtulloch,"4","21","3"
ak3n,"1","5","6"
akaariai,"1","7","3"
Akagi201,"3","17","2"
akaihola,"25","90","8"
akamai-open,"10","8","1"
akampjes,"1","8","6"
akaszynski,"4","3","4"
akehrer,"3","1","7"
akej74,"2","7","1"
akfullfo,"4","1","10"
Akhail,"2","17","26"
akita8,"2","20","19"
akkana,"5","18","8"
akloster,"15","111","27"
akngs,"5","27","16"
akolishchak,"5","52","17"
akosiorek,"4","2","9"
akozumpl,"37","79","75"
akretion,"21","56","28"
akrherz,"25","132","1"
Akrog,"17","4","7"
akrylysov,"6","32","5"
akshah,"2","1","0"
AKSW,"4","55","7"
akuendig,"3","53","16"
Akuli,"9","41","4"
akun,"1","1","0"
akvo,"92","77","52"
akx,"9","29","57"
alainjobart,"3","4","1"
AlanCristhian,"2","4","0"
alanjds,"11","5","2"
alanwilter,"2","8","0"
alard,"1","4","2"
alawibaba,"1","5","0"
albalitz,"1","3","1"
albertaleksieiev,"3","17","3"
albertaparicio,"4","42","0"
albertmenglongli,"15","53","8"
albertomr86,"4","1","0"
albertosantini,"1","12","0"
albertyw,"1","8","6"
albertz,"238","165","118"
albfan,"14","3","0"
alchemistry,"4","50","0"
alculquicondor,"3","3","3"
aldanor,"14","24","79"
aldebaran,"28","114","102"
aldeka,"2","6","6"
aldmbmtl,"4","1","0"
aldro61,"2","30","29"
aldryn,"10","1","5"
Ale-,"4","12","4"
aleasoluciones,"2","15","3"
alecthomas,"24","17","13"
Alecto3-D,"115","1123","189"
aleGpereira,"2","3","0"
alehander42,"36","86","11"
alehenaff,"5","6","3"
aleisalem,"7","13","0"
alej0varas,"5","2","1"
alejandroautalan,"19","29","16"
alejandrodumas,"2","12","1"
alejandrogallo,"2","31","0"
alejoar,"16","3","7"
aleju,"8","199","24"
alek-sys,"3","2","0"
alekLukanen,"1","5","0"
AlekseyChudov,"12","14","6"
aleneum,"6","12","10"
aleontiev,"22","19","22"
Alephbet,"1","6","0"
alephdata,"11","50","44"
alephobjects,"40","83","77"
alephu5,"592","1916","784"
Alerion,"3","1","2"
aleroddepaz,"1","4","3"
AlertaDengue,"1","40","19"
ales-erjavec,"10","22","0"
alesdotio,"31","22","115"
alesnav,"31","38","29"
AlessandroZ,"4","125","11"
aletheia7,"1","5","5"
alex,"6","45","24"
alex-dr,"1","4","0"
alex-pirozhenko,"1","33","30"
alex-sherman,"6","9","22"
