"Project","DynCount","FuncCount","DecCount"
buku,"31","49","1"
bumblebee,"13","37","7"
byob,"178","194","26"
bypy,"0","8","19"
Bzatek-Nemec-2021,"0","0","5"
b_metodos_numericos,"826","1288","1026"
cabernet,"9","46","75"
cachelab,"5","12","51"
calibre,"2258","3747","1299"
camelot,"2","70","17"
cameras,"0","3","1"
canlog,"0","0","1"
canvas-sis-provisioner,"50","18","81"
capture-macro,"0","0","2"
carebt_core,"17","0","24"
carla_simulator,"14","342","120"
Carnegie-Mellon-Fall-2021,"12","111","72"
cartocss-doc-parser,"3","7","1"
car_rental,"1","19","50"
catt,"0","13","29"
causalml,"8","125","26"
ccNERx,"12","33","5"
cds-ils,"13","80","187"
CE7490_Raid6,"27","56","171"
CellarV,"7","87","4"
CellProfiler,"62","705","143"
CenterNet,"20","76","9"
cerberus,"4","51","36"
Certipy,"0","16","19"
certvalidator,"23","56","29"
cfn-sync,"3","6","2"
CGLib,"0","78","24"
chainer,"510","1673","480"
chalice,"23","140","167"
channels,"23","10","19"
ChatterBot,"27","69","12"
ChatTrack,"3","3","1"
checkerboard,"0","3","2"
checkov,"19","672","177"
cheirrs,"0","0","12"
chemjobber-faculty-jobs-list-automation,"0","24","4"
chia-blockchain,"44","455","459"
ChickenFarm,"1","0","2"
Chinese-chess-python-,"680","962","459"
CHINESE-OCR,"1","21","9"
chisel,"4","15","78"
cidemo,"503","874","724"
Ciphey,"3","36","163"
Cirq,"196","2442","585"
Clam,"21","108","72"
clang-tidy-runner,"1","3","7"
clavier,"20","39","27"
cleanlab,"16","218","1"
clearml,"305","725","698"
client,"254","1243","776"
client-bots,"8","78","44"
cloud-builder,"0","3","44"
cloudflare-scrape,"2","5","5"
clp-anki,"0","6","6"
cluplus,"6","12","4"
clusterfuzz,"52","411","267"
cnn-lstm-research,"0","15","2"
coar-notify,"0","3","3"
coconut-prelude,"35","77","144"
cocotbext-axi,"84","31","22"
codecarbon,"4","64","105"
codemod,"2","6","3"
CodeSnippets,"2","7","13"
Coding-Dojo,"0","0","24"
Coding-Projects,"17","120","13"
Coding-Questions,"0","0","1"
CodingTestPractice,"1","63","2"
Coding_Practice,"2622","5725","2511"
CoinCollector,"0","15","24"
Coin_Flip,"1","1","3"
Collection_Target,"621","1066","796"
compas_occ,"3","35","109"
competitive_programming,"0","114","11"
computer_vision_autumn_2021,"0","51","14"
Comsc-131-Project-Team-2,"0","0","1"
com_lib,"11","0","10"
conan,"239","638","865"
Concesionario,"448","485","527"
concurrency_parallelism_asyncio,"0","4","2"
cone.app,"6","41","263"
conjur-api-python3,"13","4","78"
connectbox-pi,"59","70","29"
contact-scrapper,"1","7","3"
content,"87","2561","909"
controle-contas,"1","3","18"
cookiecutter-bali,"0","23","1"
coq-tools,"0","0","1"
core,"905","4264","13022"
coremltools,"130","1331","807"
Corest,"258","172","103"
Corona,"0","2","4"
coronasurveys,"0","259","56"
CosMo,"3","8","20"
cost-analysis,"0","0","22"
CouchPotatoServer,"437","610","226"
CountBOINCtasks,"0","7","1"
coursera-advanced-dl,"0","6","1"
coursera-dl,"3","21","3"
coveragepy,"96","170","23"
covid-19-data,"4","251","59"
covid-data-model,"9","259","217"
covid-data-public,"0","20","10"
covidash,"3","40","4"
covid_19,"3","9","5"
cov_charts,"0","6","1"
cports,"46","26","8"
cpython,"6746","10456","5332"
CrackMapExec,"41","16","10"
crf-31843,"3","1","1"
crm,"0","0","1"
crm1,"275","237","377"
CRO-alg,"0","3","3"
crontabs,"0","3","2"
CRUDPY,"262","218","371"
cryptography,"30","544","143"
CS230_Fall2021_Project,"0","2","1"
CS50w,"0","5","6"
csgo-inv-shuffle,"4","3","14"
cslug,"25","42","15"
CSrankings,"7","33","5"
csvkit,"19","23","4"
CS_basics,"8","844","5"
CudaText,"266","400","177"
