"funcname","freq"
property,159083
classmethod,76304
staticmethod,46530
dataclass,9498
cached_property,6338
abstractmethod,6235
contextmanager,4209
callback,2424
_require_version_compare,2380
overload,2258
final,2206
register,1772
cache_readonly,1512
login_required,1092
gen_test,1047
slow,1019
_generative,891
internalcode,862
run_async,853
njit,847
mock_ec2,835
setupmethod,767
pass_environment,508
require_torch,470
optimizeconst,460
pass_context,458
