"Project","DynCount","FuncCount","DecCount"
"03_clean.py","0","4","0"
"03_Hard","0","1","0"
"03_neural_recsys","0","3","2"
"03_second_level_models","0","3","0"
"03_test_io.py","0","0","2"
"04 Sorting and Filter 2","6","13","0"
"04-CarND-Behavioral-Cloning","0","2","0"
"04-hue-lights","2","0","0"
"04-InterpretationOfClusters","0","5","0"
"04-model","0","2","0"
"04.DataProviderGeneratorClient","0","7","0"
"04.py","0","1","0"
"0400_i18n","0","3","0"
"045-Home2.py","0","1","0"
"04_conv_nets","0","5","0"
"04_low_level_functions","0","2","0"
"04_sent.py","0","8","0"
"04_test_processor.py","0","0","2"
"05 BibTeX in Python","6","19","0"
"05-CarND-MPC-Project","0","4","0"
"05.py","0","2","2"
"0518-Prime_triples_and_geometric_sequences","0","1","0"
"05_complete_examples","0","1","0"
"05_conv_nets_2","0","7","0"
"05_FirstPython","1714","2259","1657"
"05_test_fsa.py","0","0","2"
"06 Filter HTML Content with Javascript","6","19","0"
"06-types","0","5","0"
"06.py","0","8","2"
"060_make_synteny_plot_data_filtered.py","0","4","0"
"061-070","0","3","0"
"061-PAM.py","0","1","0"
"062-PAM2.py","0","1","0"
"06_deep_nlp","0","1","0"
"06_test_formats.py","0","0","2"
"07-env-effects-corr","0","1","0"
"07-functional-programming","0","6","0"
"07-MICCAI","0","2","0"
"07-particle_filter","0","1","0"
"07.Dataflow","0","4","1"
"07.py","0","6","3"
"07.word.count.py","0","3","0"
"0700_pages_registry","0","8","0"
"071-080","0","1","0"
"0788. Rotated Digits","0","2","0"
"07_ManagingOffenses.py","0","3","0"
"07_seq2seq","0","16","0"
"08-Handling_Attributes","0","1","0"
"08-kalman","0","1","0"
"08-object-oriented-programming","0","0","4"
"08-server","0","9","0"
"08.py","0","8","3"
"0800_builder","2","2","0"
"08_expressivity_optimization_generalization","0","3","0"
"08_frameworks","0","1","0"
"09.py","0","7","3"
"0905. Sort Array By Parity","0","2","0"
"0922. Sort Array By Parity II","0","1","0"
"0977. Squares of a Sorted Array","0","1","0"
"0985. Sum of Even Numbers After Queries","0","1","0"
"0987. Vertical Order Traversal of a Binary Tree","0","2","0"
"09a-gen_attractor_data.py","0","2","0"
"09_triplet_loss","0","5","0"
"0d","0","2","0"
"0launch-gui","8","28","0"
"0Note_MergeTwoArraysRandomly.py","0","1","0"
"0Note_TreeSerizalize.py","0","1","0"
"0_slc","0","12","0"
"1","0","71","0"
"1 - Forward Propagation","0","2","0"
"1-Linear Regression","0","1","0"
"1-num2word","0","0","2"
"1-TwoSum","0","1","0"
"1. Can you inject some happiness?","1","0","0"
"1. Data Source","0","0","1"
"1.0","221","198","94"
"1.0-preprocess.py","0","8","0"
"1.1-blast_V.py","1","1","0"
"1.2 Final","0","0","6"
"1.2-blast_J.py","3","0","0"
"1.3-finalize_assignments.py","1","1","0"
"1.4-cluster_sequences.py","0","2","0"
"1.5-single_cell_statistics.py","0","8","0"
"1.hello-world","0","4","4"
"1.MNIST For ML Beginners","0","3","4"
"1.py","0","7","0"
"10-Hard-Regular-Expression-Matching","0","1","0"
"10-optics.py","0","0","2"
"10-sequence-lookup","0","4","0"
"10-variance_explained_plot.py","0","1","0"
"10.py","0","1","0"
"1000_interfaces","0","1","0"
"1007m.py","0","3","0"
"1009.py","0","1","0"
"100daysofpython","13","29","4"
"10114-Loansome-Car-Buyer.py","0","2","0"
"10141-RequestforProposal.py","0","1","0"
"1018. Binary Prefix Divisible By 5","0","3","0"
"102.py","0","1","0"
"1029-twocity.py","0","1","0"
"1029. Two City Scheduling","0","4","0"
"102BinaryTreeLevelOrderTraversal.py","0","1","0"
"102e.py","0","1","0"
"103. Binary Tree Zigzag Level Order Traversal","0","1","0"
"1030-matrix_cell_in_distance_order.py","0","2","0"
"1030. Matrix Cells in Distance Order","0","1","0"
"1032. Stream of Characters","0","1","0"
"10324-ZerosandOnes.py","0","1","0"
"103BinaryTreeZigzagLevelOrderTraversal.py","0","2","0"
"10424-LoveCalculator.py","0","5","0"
"1043-partition-array-for-maximum-sum.py","0","1","0"
"1047. Remove All Adjacent Duplicates In String","0","1","0"
"1048. Longest String Chain","0","1","0"
"1048m.py","0","1","0"
"105. Construct Binary Tree from Preorder and Inorder Traversal","0","1","0"
"1057. Campus Bikes","0","1","0"
"106. Construct Binary Tree from Inorder and Postorder Traversal","0","1","0"
"107. Binary Tree Level Order Traversal II","0","2","0"
"10895-MatrixTranspose.py","0","2","0"
"10919-Prerequisites.py","0","1","0"
"10RegularExpressionMatching.py","0","3","0"
"10_unsupervised_generative_models","0","2","0"
"11-machine.py","0","0","1"
"11.13","0","1","0"
"11.py","0","3","0"
"1109. Corporate Flight Bookings","0","1","0"
"1111.py","0","1","0"
"1119. Remove Vowels from a String","0","1","0"
"1122. Relative Sort Array","0","2","0"
"1123. Lowest Common Ancestor of Deepest Leaves","0","1","0"
"1124. Longest Well-Performing Interval","0","1","0"
"11258-StringPartition.py","0","1","0"
"1129. Shortest Path with Alternating Colors","0","4","0"
"11332-SummingDigits.py","0","1","0"
"1134. Armstrong Number","0","1","0"
"1135. Connecting Cities With Minimum Cost","0","7","0"
"1136. Parallel Courses","0","7","0"
"1140. Stone Game II","0","1","0"
"115. Distinct Subsequences","0","2","0"
"11507-BenderBRodriguezProblem.py","0","7","0"
"1152. Analyze User Website Visit Pattern","0","3","0"
"1153. String Transforms Into Another String","0","1","0"
"1155. Number of Dice Rolls With Target Sum","0","1","0"
"1156. Swap For Longest Repeated Character Substring","0","1","0"
"115DistinctSubsequences.py","0","1","0"
"1160. Find Words That Can Be Formed by Characters","0","1","0"
"11614-EtruscanWarriorsNeverPlayChess.py","0","1","0"
"1165. Single-Row Keyboard","0","1","0"
"1168. Optimize Water Distribution in a Village","0","1","0"
"1169. Invalid Transactions","0","2","0"
"1170. Compare Strings by Frequency of the Smallest Character","0","4","0"
"1178. Number of Valid Words for Each Puzzle","0","2","0"
"1187. Make Array Strictly Increasing","0","1","0"
"118e.py","0","0","1"
"1192.CriticalEdges","0","2","0"
"1199e.py","0","1","0"
"119e.py","0","0","1"
"119_Pascals_Triangle2.py","0","1","0"
"11FFNN.py","0","3","0"
"12-endstation.py","0","0","2"
"1200.Abs_min_difference","0","1","0"
"12015-GoogleisFeelingLucky.py","0","3","0"
"1202. Smallest String With Swaps","0","2","0"
"121-130","0","1","0"
"12149-Feynman.py","0","1","0"
"12157-TariffPlan.py","0","2","0"
"122-Easy-Best-Time-To-Buy-And-Sell-Stock-II","0","1","0"
"1243. Array Transformation","0","2","0"
"1248. Count Number of Nice Subarrays","0","3","0"
"1249. Minimum Remove to Make Valid Parentheses","0","1","0"
"125. Valid Palindrome","0","1","0"
"125.py","0","1","0"
"12503-RobotInstructions.py","0","2","0"
"1252. Cells with Odd Values in a Matrix","0","3","0"
"1253. Reconstruct a 2-Row Binary Matrix","0","2","0"
"1254. Number of Closed Islands","0","2","0"
"12554-ASpecialHappyBirthdaySong.py","0","1","0"
"126WordLadderII.py","0","2","0"
"1275. Find Winner on a Tic Tac Toe Game","0","2","0"
"1282. Group the People Given the Group Size They Belong To","0","1","0"
"1289. Minimum Falling Path Sum II","0","3","0"
"1292. Maximum Side Length of a Square with Sum Less than or Equal to Threshold","0","2","0"
"12_i2c_oled_display","0","1","0"
"13-mll.py","0","0","3"
"13.py","0","3","1"
"1302. Deepest Leaves Sum","0","1","0"
"1304. Find N Unique Integers Sum up to Zero","0","1","0"
"1311","0","8","0"
"132PalindromePartitioningII.py","0","2","0"
"133. Clone Graph","0","2","0"
"1335. Minimum Difficulty of a Job Schedule","0","1","0"
"1337. The K Weakest Rows in a Matrix","0","1","0"
"1365. How Many Numbers Are Smaller Than the Current Number","0","1","0"
"139. Word Break","0","1","0"
"14-Inserting_Multiple_Documents","0","10","0"
"14-LongestCommonPrefix","0","2","0"
"14-palindrome-permutation","0","1","0"
"14.LongestCommonPrefix","0","3","0"
"140. Word Break II","0","1","0"
"141e.py","3","0","0"
"143m.py","0","2","0"
"145BinaryTreePostorderTraversal.py","0","1","0"
"14888","0","2","0"
"14_netcdf","3","1","0"
"15 (3).py","0","2","0"
"15-zp.py","0","0","3"
"150. Evaluate Reverse Polish Notation","0","1","0"
"150.py","0","3","0"
"151. Reverse Words in a String","0","1","0"
"151ReverseWordsInAString.py","0","1","0"
"152MaximumProductSubarray.py","0","1","0"
"159.py","0","1","0"
"15_dbs","0","4","0"
"16-Decision_Tree_Learning","0","3","0"
"164MaximumGap.py","0","2","0"
"165. Compare Version Numbers","0","2","0"
"1663. Smallest String With A Given Numeric Value","0","0","1"
"167. Two Sum II - Input array is sorted","0","0","1"
"169 Simple calculator","0","1","0"
"17","0","2","0"
"17. Letter Combinations of a Phone Number","0","1","0"
"17.py","0","1","0"
"170 Word Construction","0","2","0"
"171 Email Merge","0","3","0"
"171-180","0","2","0"
"172 Matrix Sum","0","0","1"
"173 A Game","0","4","0"
"174 Dice Possibility","0","0","1"
"174. Dungeon Game","0","1","0"
"17_testing_projects","0","0","1"
"181-190","0","1","0"
"187. Repeated DNA Sequences","0","1","0"
"19-Ensemble Learning","0","4","0"
"1992. Find All Groups of Farmland","0","1","0"
"199m.py","0","1","0"
"19_building_projects","0","0","1"
"1a-est-gyro-rates.py","0","2","0"
"1a_practise","0","2","0"
"1a_round","0","3","0"
"1b_practise","0","2","0"
"1b_round","0","1","0"
"1c-motion-smoothing.py","0","2","0"
"1C.py","0","1","0"
"1e","17","4","2"
"1st_tensorflow_output_viewable ","0","2","0"
"1sw_demo.py","0","2","0"
"1_1_big_digits.py","0","2","0"
"1_2_0_upgrade_2_0_0.py","0","2","0"
"1_AlgorithmicToolbox","0","2","0"
"1_example_3_13","0","2","0"
"1_example_3_14","0","2","0"
"1_example_3_15","0","2","0"
"1_example_3_16","0","1","0"
"1_example_3_17","0","1","0"
"1_example_3_5","0","2","0"
"1_example_3_8","0","1","0"
"1_example_3_9","0","1","0"
"1_init_settings.py","0","1","0"
"2","0","14","0"
"2 - Learning and Loss","0","2","0"
"2-af.py","0","2","0"
"2. All of your cookies are belong to me","1","0","0"
"2.0","0","14","0"
"2.1-calculate_id-div.py","0","5","0"
"2.1.0","0","1","3"
"2.3-intradonor_analysis.py","1","4","0"
"2.4-cluster_into_groups.py","0","2","0"
"2.78","6308","8765","5019"
"2.CHA","2","1","0"
"2.ControlsExamples","0","2","0"
"2.Deep MNIST for Experts","0","3","4"
"2.py","0","10","0"
"20","0","6","0"
"200","0","1","0"
"200-Medium-Number-Of-Islands","0","1","0"
"200. Number of Islands","0","1","0"
"2008","0","12","0"
"2009","0","1","0"
"200_sorting","0","1","0"
"2010","0","2","0"
"2012","0","10","0"
"2012_QR","0","1","0"
"2013","0","1","0"
"2013-2014","0","6","0"
"2014","0","11","0"
"2014-jos-Lab1","0","3","1"
"2014-jos-Lab2","0","3","1"
"2014-jos-Lab3","0","3","1"
"2014-jos-Lab4","0","3","1"
"2014-mar","0","2","0"
"20141111-fold-up-locations.py","0","3","0"
"2015","0","24","0"
"2015-03-30-Cluster.py","0","4","0"
"2015-05-01","0","1","0"
"2015-07-02-jw-plotting-relationships.py","0","1","0"
"2015-07-13-jw-plotting-relationships.py","0","1","0"
"20150831-rules.py","0","3","0"
"2016","0","73","0"
"2016 Breast Cancer","0","23","0"
"2016 Lymphoma","0","3","0"
"20160321-elasticsearch","0","4","0"
"20161014","1","1","0"
"20161022","0","0","2"
"2016fallcpb.py","0","5","0"
"2016fallcp_grouping.py","0","5","0"
"2016springgrouping.py","0","5","0"
"2017","0","44","0"
"2017-04-06.py","0","2","0"
"2017-04-25-fourkas-correction","0","2","0"
"2017-05-20","1","7","2"
"2017-06-14-illumination-calculation","0","1","0"
"2017-07-22-spotifyLuigi","0","5","0"
"2017-08-22-error-ellipse","0","2","0"
"2017-08-27-jm-data-prep-for-prototype.py","0","2","0"
"2017-08-31-polarized-detection","0","5","0"
"2017-10-10-voxel-reconstruction","0","8","0"
"2017-12-23","0","7","0"
"2017.02_species_search","0","1","0"
"20170114.py","0","3","0"
"20170207-tiled-synthesis-computations","0","3","0"
"20171204-profiling","0","1","0"
"20171218-terminal","0","16","0"
"2018","0","15","0"
